Samples_Sample_ID,Level_composite_TF,Age,d13C,d18O,D47,d13C stdev,d18O stdev,D47 stderr
BB-TF2-14-001,1,69,-9.139060721,-3.855405389,,0.044169182,0.03659121,
BB-TF2-14-002,2.5,68.925,-9.140312936,-3.637855725,,0.066455499,0.160493769,
BB-TF2-14-003,4,68.85,-8.922051992,-3.900984809,,0.067414143,0.21545069,
BB-TF2-14-003,4,68.85,-9.121488107,-3.361109685,,0.030728651,0.066236948,
BB-TF2-14-004,6,68.75,-8.893977685,-3.375987567,,0.043764521,0.088714429,
BB-TF2-14-004,6,68.75,-8.68767595,-3.231345608,,0.073436075,0.039206413,
BB-TF2-14-005,7.5,68.675,-9.606639893,-3.384966232,,0.068619725,0.872542788,
BB-TF2-14-005,7.5,68.675,-9.634302643,-3.820483718,,0.031052375,0.020564938,
BB-TF2-14-006,11,68.5,-9.080231167,-3.546006145,,0.041589261,0.133863114,
BB12-073,11.5,68.475,-9.497379055,-4.5166838,,0.056014972,0.03441075,
BB-TF2-14-007,12.5,68.425,-10.86905028,-3.15965039,,0.130655718,0.216341551,
BB-TF2-14-007,12.5,68.425,-10.25914948,-3.248898141,,0.041556187,0.040119613,
BB-TF2-14-008,13.5,68.375,-9.301378293,-3.371098362,,0.072329685,0.081523003,
BB-TF2-14-009,14.5,68.325,-9.189995937,-3.542826746,,0.036426867,0.353798907,
BB-TF2-14-009,14.5,68.325,-9.25725704,-2.909438961,,0.009036961,0.0355,
BB12-074,15,68.3,-10.86432326,-4.43159248,,0.060216257,0.030868324,
BB-TF2-14-010,16,68.25,-8.917548225,-3.354160652,,0.034665064,0.102420701,
BB12-075,16.5,68.225,-9.527431237,-4.335924553,,0.01253498,0.018335733,
BB-TF2-14-011,17,68.2,-11.06362278,-4.932113809,,0.043061003,0.30591434,
BB-TF2-14-011,17,68.2,-10.84472375,-4.782883873,,0.053350258,0.180403945,
BB12-076,18,68.15,-10.0865083,-4.459117781,,0.077992917,0.021078096,
BB-TF2-14-013,18.5,68.125,-9.229742338,-3.579619855,,0.026056029,0.151934196,
BB-TF2-14-014,19,68.1,-8.564914461,-3.740477919,,0.028612352,0.016660832,
BB-TF2-14-015,20.5,68.025,-9.298718464,-3.379539049,,0.053928966,0.113591373,
BB12-077,21.5,67.98684211,-9.492642147,-4.14094049,,0.098589322,0.005507609,
BB12-077,21.5,67.98684211,-9.664376118,-3.671744766,,0.036725898,0.024450267,
BB-TF2-14-016,22.5,67.96052632,-9.67237545,-2.958372327,,0.055979163,0.069288647,
BB-TF2-14-017,25,67.89473684,-8.42545885,-3.051137613,,0.034417603,0.016688319,
BB-TF2-14-017,25,67.89473684,-8.373658675,-2.832655343,,0.02171597,0.020188693,
BB12-078,25.5,67.88157895,-9.613907719,-4.059754955,,0.037364534,0.02031639,
BB-TF2-14-018,26,67.86842105,-9.370585502,-4.006463264,,0.037294995,0.037313983,
BB12-092,95.5,66.03947368,-11.11926921,-5.042655043,,0.037126193,0.011417658,
BB-TF2-14-030,96,66.02631579,-10.76781887,-5.012442501,,0.018571932,0.050756773,
BB-TF2-14-031,97,66,-10.90138893,-5.182942422,,0.078477173,0.055924801,
BB-TF2-14-032,97.5,65.97241379,-10.44963332,-4.791344771,,0.061779177,0.232537452,
BB-TF2-14-033,98,65.94482759,-10.51098368,-5.286980035,,0.060849541,0.204069228,
BB-TF2-14-034,98.5,65.91724138,-10.61797545,-5.958138209,,0.02126617,0.085566738,
BB-TF2-14-034,98.5,65.91724138,-10.69651911,-6.060530312,,0.059866369,0.056111496,
BB-TF2-14-035,102,65.72413793,-11.18026965,-5.22469863,,0.056341222,0.096042959,
BB-TF2-14-036,103,65.66896552,-11.3387583,-5.821546793,,0.060351056,0.080043738,
BB-TF2-14-038,110,65.28275862,-11.37130839,-4.279465454,,0.029825884,0.098395037,
BB-TF2-14-038,110,65.28275862,-10.82352679,-4.515825877,,0.051771936,0.117715759,
BB-TF2-14-038,110,65.28275862,-10.80875211,-4.482026802,,0.062353686,0.028131071,
BB-TF2-14-039,111,65.22758621,-11.59453527,-6.015005684,,0.009844626,0.378123767,
BB-TF2-14-039,111,65.22758621,-11.17130463,-6.394416256,,0.039676819,0.044304815,
BB-TF2-14-040,112,65.17241379,-12.88109628,-6.435047047,,0.021992423,0.136680894,
BB-TF2-14-040,112,65.17241379,-13.49915568,-6.047331221,,0.067002665,0.045267459,
BB-TF2-14-041,113.5,65.08965517,-11.44037322,-5.263056842,,0.027427176,0.094284587,
BB12-098,114.5,65.0,-11.4,-6.3,0.5958,0.05,0.1,0.021994535
BB12-098,114.5,65.03448276,-11.6863512,-5.811142052,,0.028409341,0.028166861,
BB12-098,114.5,65.03448276,-11.64248178,-5.630320083,,0.048985854,0.066821825,
BB-TF2-14-042,114.5,65.03448276,-11.75074787,-6.415753,,0.036863487,0.10800733,
BB12-101,118,64.84137931,-12.87893107,-6.340816168,,0.096683727,0.034218596,
BB12-101,118,64.84137931,-12.73718116,-5.429350158,,0.100365578,0.010090163,
BB-TF2-14-044,118.5,64.8137931,-12.08359315,-5.127961883,,0.030116441,0.029545163,
BB-TF2-14-045,119.5,64.75862069,-11.71308122,-6.441753962,,0.032664966,0.050894499,
BB-TF2-14-045,119.5,64.75862069,-11.71250588,-5.112979407,,0.091248288,0.094114735,
BB12-102,121,64.67586207,-11.6179642,-5.665771372,,0.019869168,0.018414343,
