site,latitude,longitude,MAP,MAT,Evap,1um_percent,Md_um,20um_percent,MS,MS_1se,LF_MS,HF_MS
Altan Xiret,39.52,109.85,404,6.1,,,,,22.5,2.2,,
Anbianbu,37.5,107.93,,,,6,53,91.5,48.6,5,48.8,42.8
Bahe,35.17,109.03,619,10.5,1640,,,,124.9,3.8,,
Beiguocun,36.63,107.35,543,7.6,1818,22,20.5,50.5,54,4.9,61.1,57.1
Binxian,35,108.08,,,,,,,96.2,3.9,,
Binxian,34.98,108.07,541,10.9,1643,32,5.1,20,111.9,8.5,103.2,92.2
Caojiagou,37.27,110.15,505,9.6,1817,,,,47.9,5.2,,
Chang Liu Shui,37.45,104.88,,,,,,,29.3,2.2,,
Changwu,35.25,108.75,586,9.1,1564,29,7,22,116.6,6.7,123.8,113.1
Chencheng,35.17,109.93,544,12.2,1775,,,,116,8.2,,
Da Zhao,34.13,0.05,615,13.3,1352,,,,217,12,,
Dingbian,37.62,107.58,324,7.9,2523,10,47,86.5,33.8,3.2,35.9,33.9
Dingxi,35.5,104.68,425,6.3,1526,,,,51.2,3.9,,
Fuxian,36.02,109.4,641,8.4,1376,25,13,37,107.2,7.2,89,81.1
Ganquan,36.97,109.75,564,8.6,1518,21,17,44,73.2,4.5,65.9,61
Gantong,37.4,104.58,,,,,,,33.5,1.8,,
Gaoling,34.37,109.1,505,13.3,1281,,,,127.6,5.7,,
Guojialiang,37.72,108.83,368,7.9,2362,,,,46.3,3.9,86,40
Hancheng,35.35,110.4,561,13.5,1954,,,,101.6,5.7,,
Hancheng West,35.35,110.23,561,13.5,1954,,,,110.8,5.2,,
Hesheng,35.35,107.78,,,,27,12,31,106.4,4,111.9,102.2
Houjiahe,37.55,107.17,324,7.9,2523,16.5,43,77,41.9,3.4,40.1,38.2
Houma,35.62,111.25,528,12.6,1818,,,,100,5.3,,
Hsao Ping Dian,34.33,109.12,580,13.3,1546,,,,135,4,,
Huajialing,35.4,105.02,440,6.6,1355,,,,59.9,5.3,,
Huan Xian,36.85,107.17,543,7.6,1818,24,17.5,45,51.3,4,53.5,5
Huangling,35.53,109.25,631,9.4,1423,,,,93,5,,
Huangsi,34.25,108.8,580,13.3,1546,27,9,27,149.4,7.2,142.6,129.1
Jijiapou,37.93,110.03,415,8.7,1767,,,,41.7,3.4,,
Jingchuan,35.33,197.32,596,9.9,1368,,,,78.7,3.8,,
Jingtai,37.07,104.02,,,,,,,32.6,2.9,,
Jiuyongshou,34.83,108.05,612,9,1414,29,7.4,23,121.5,4.6,111.3,101.5
Lantian,34.15,109.33,720,13.1,1378,,,,202,17,,
Lanzhou North,36.47,106.67,330,9.3,1476,,,,45.5,3.6,,
Liangcun,34.37,108.78,510,13,1651,,,,104,5.4,,
Liangzhen,37.52,108.33,423,7.8,2362,13.5,35,75.5,37.2,4,31.6,29.8
Lingbao,34.58,110.68,624,13,1973,,,,59.9,2.5,,
Lingwu,38.1,106.42,204,8.4,,,,,31.1,2.8,,
Liquan,34.5,108.38,519,12.8,1865,28,8,23,141.1,5.6,143.7,130.5
Lu Shuwan,37.67,108.77,423,7.8,2362,11,46,82,42.1,4,40.9,39.1
Lujiagou,37.8,108.93,423,7.8,2362,,,,40.4,2.7,,
Luochuan,35.72,109.42,623,9.2,1638,25,11,32,105.8,5.6,95.7,89
Luochuan,35.8,109.47,623,9.2,1638,23.5,14,37,108.8,6.3,108.9,97.5
Luochuan,35.72,109.42,623,9.2,1638,,,,104.9,4.7,,
Mangshan,34.95,113.37,,,,,,,97.5,8.8,,
Mengcheng,37.25,106.73,,,,15,31,68,42.7,2.7,44.9,43.1
Mengjiawang,38.63,109.67,461,7.9,,,,,29.8,3.6,,
Mijiagou,36.25,109.37,,,,,,,69.5,6.4,,
Minde,36.37,102.68,,,,,,,42.8,6.2,,
Pingan,36.52,102.02,,,,,,,33.1,2.6,,
Qianxian,34.52,108.28,538,12.7,1761,31,6,19.5,138.6,6.1,143.1,128
Qingjian,37.12,110.12,522,9.7,1817,23,19,47,53,5.5,38.3,37.4
Qingyang,36.05,107.83,537,9.4,1481,22,15.5,40,72.9,3.8,74.4,69.9
Qinling front,34.07,108.2,665,13.3,1047,43,1.7,11,183.1,8.6,162.8,158.2
Qinling valley,33.98,108.15,,,,,,,79.6,4.8,,
Quzi,36.28,107.53,,,,20,17,42,61.7,7.1,59,56.2
Renjiahutong,35.72,109.42,623,9.2,1638,,,,129,5.4,170,
Sanyuan,34.6,108.93,489,13.5,1410,40,1.9,10,101,7,85.3,81.7
Shiwan,37.48,109.45,368,7.9,2362,19.5,26,62,43.5,2.8,43.5,36.7
Sishipu,37.5,108.23,,,,10,48,87,45.2,4.1,57,51.5
Suide,37.47,110.28,511,9.5,2062,19,21,52.5,46.7,2.8,44.7,42
Tanshui,37.15,106.8,,,,11,47,82,46.8,2.6,44.4,42.6
Tongchuan,35.33,109.08,619,10.5,1640,,,,91.7,9.9,,
Tongchuan,35.12,109.08,619,10.5,1640,35,4,19,115.6,9.1,102.4,88.8
Tongchuan,35.2,109.05,619,10.5,1640,33,5.5,20,103.7,7.9,98.5,90.7
Weinan,34.5,109.58,552,13.6,1637,,,,98,6,,
Xian,34.15,108.8,580,13.3,1546,35,3.8,15,175.8,5.7,169.1,152.7
Xianyang,34.37,108.67,510,12,1651,30,5.8,19,127.9,8.1,111.3,110.4
Xifeng,35.73,107.73,614,8.1,,24,13.5,36,87,4.1,93.2,86.5
Xingzheng,34.93,109.6,526,13.3,1970,,,,117,7.7,,
Yanan,36.52,109.47,,,,,,,50.7,3,,
Yanan,36.63,109.53,508,9.7,1586,26,13,35,59.6,4.4,57.4,54.7
Yanchi,37.75,107.38,301,7.6,2171,15.5,38.5,75.5,34.4,2,38.1,36.4
Yangtaomao,38.77,110.4,468,8.6,,,,,30.8,1.5,,
Yao Xian,34.88,108.98,546,12.3,2032,30,6.5,22,106,6,107.5,98.5
Yaojiawan,36.15,103.48,330,9.3,1476,,,,47.1,3.6,,
Yicheng East,35.75,111.92,542,12.3,1820,,,,98.7,5.5,,
Yijun,35.43,109.13,710,8.9,1865,31,6,22,112,11.4,109.5,100
Yin Zhen,34.08,109.1,615,13.3,1352,,,,214,17,,
Yulin,38.35,109.73,461,7.9,1896,,,,39.5,5.9,,
Zhengbeitai,38.33,109.73,461,7.9,,,,,30.8,2.1,,
Zhichang,37.13,109.68,494,9.1,1738,20,21,52,54.3,2.6,52.9,49.3
Zhouzhi,34.13,108.22,665,13.3,,31,7,28,179,8.7,138.2,126.5
