section,SID,age,d13c,d18c,d13o,R,R.sd,MS
Fuxian,14-Mar,0.021,-7,-9.3,-23,0.43,0.07,45
Fuxian,Mar-46,0.026,-7.2,-10.4,-22.9,0.4,0.06,63
Fuxian,9/1/62,0.070,-7,-9.5,-23.5,0.45,0.07,34
Fuxian,10/2/46,0.136,-7,-10.2,-22.6,0.4,0.07,32
Fuxian,11/1/34,0.139,-7.4,-10.9,-22.9,0.37,0.06,38
Fuxian,11/1/90,0.143,-7.5,-10.4,-23.4,0.41,0.06,45
Fuxian,12/1/78,0.150,-6.9,-9.7,-23,0.47,0.07,34
Fuxian,14-1-66,0.179,-6.4,-9.3,-22.7,0.52,0.07,36
Fuxian,16-2-76,0.259,-6.4,-10,-22.6,0.47,0.07,39
Fuxian,17-1-80,0.280,-7.1,-10.8,-23.2,0.44,0.07,48
Fuxian,17-2-68,0.294,-6.8,-10.7,-23.2,0.46,0.06,41
Fuxian,18-1-32,0.298,-6.4,-9.5,-22.8,0.49,0.07,37
Fuxian,19-1-108,0.344,-6.7,-10,-23.1,0.51,0.07,35
Fuxian,19-2-58,0.353,-7,-9.8,-23.7,0.51,0.07,52
Fuxian,20-60,0.362,-6.7,-10,-23,0.48,0.07,37
Fuxian,21-1-64,0.371,-7.5,-11,-23.7,0.41,0.06,61
Fuxian,23-1-46,0.434,-7,-10.6,-22.9,0.45,0.07,59
Fuxian,23-1-100,0.439,-6.4,-9.7,-23,0.58,0.08,34
Fuxian,23-2-70,0.448,-7,-9.7,-23.2,0.47,0.07,46
Fuxian,24-1-110,0.460,-7.3,-10.3,-23.2,0.42,0.07,56
Fuxian,24-2-60,0.468,-7.1,-9.9,-23.5,0.43,0.06,46
Fuxian,28-2-66,0.648,-7.4,-10.5,-23.7,0.47,0.07,37
Fuxian,29-86,0.657,-7,-10.1,-23.9,0.55,0.07,28
Fuxian,30-1-78,0.666,-6.8,-10.5,-23.6,0.54,0.07,39
Fuxian,30-2-36,0.674,-5.8,-9,-23.7,0.67,0.08,33
Fuxian,31-1-118,0.720,-6.7,-10.4,-23.2,0.53,0.07,40
Fuxian,32-1-18,0.744,-7.9,-10.5,-24,0.41,0.06,54
Fuxian,32-1-104,0.754,-8.1,-10.5,-24,0.4,0.06,73
Fuxian,32-2-148,0.795,-7.6,-9.2,-24,0.47,0.07,33
Fuxian,33-1-24,0.798,-7.2,-9.8,-23.6,0.49,0.07,25
Fuxian,33-1-28,0.799,-7.5,-9.5,-23.8,0.48,0.07,27
Fuxian,33-1-74,0.805,-7.8,-10,-23.5,0.36,0.06,62
Fuxian,34-2-60,0.871,-6,-9.1,-23.3,0.68,0.1,29
Fuxian,35-1-40,0.878,-6.4,-9.3,-23.1,0.58,0.09,25
Fuxian,36-1-64,0.896,-6.5,-9.7,-23.3,0.56,0.08,31
Fuxian,36-2-118,0.917,-7,-11.2,-22.8,0.43,0.08,57
Fuxian,37-1-74,0.923,-6.7,-10.4,-23.2,0.49,0.07,38
Fuxian,37-1-86,0.924,-7.1,-9.5,-23.4,0.46,0.07,30
Fuxian,37-2-38,0.930,-6.6,-8.8,-24,0.6,0.07,27
Fuxian,39-1-2,0.983,-5.6,-9.4,-23.2,0.65,0.08,67
Fuxian,39-1-6,0.986,-6.5,-9.6,-23.6,0.55,0.07,73
Fuxian,39-2-142,1.040,-7.3,-10.2,-23.5,0.43,0.06,84
Fuxian,40-1-2,1.043,-7.6,-11.2,-24.1,0.44,0.06,71
Fuxian,41-1-106,1.122,-6.4,-9.9,-22.7,0.5,0.08,30
Fuxian,41-2-42,1.129,-6.8,-9.6,-23.8,0.55,0.08,36
Fuxian,41-2-102,1.134,-6.4,-9.8,-23,0.5,0.07,34
Fuxian,42-2-120,1.203,-7.2,-9.6,-23,0.41,0.06,49
Fuxian,42-2-136,1.208,-7,-8.9,-24.4,0.57,0.07,51
Fuxian,43-1-16,1.215,-6.7,-9.3,-22.8,0.46,0.07,61
Fuxian,43-2-80,1.247,-5.1,-9.1,-23.3,0.79,0.11,25
Fuxian,44-1-40,1.250,-5.3,-9.1,-23.3,0.8,0.1,24
Fuxian,45-2-36,1.263,-6.5,-9.6,-23.2,0.49,0.07,31
Fuxian,46-2-30,1.287,-6.1,-9.6,-23.2,0.55,0.07,29
Fuxian,46-2-70,1.290,-5.8,-8.5,-24.4,0.73,0.08,21
Fuxian,47-1-88,1.303,-6.7,-10.1,-24.8,0.6,0.06,49
Fuxian,47-2-88,1.329,-7,-10,-23.3,0.43,0.06,59
Fuxian,47-2-98,1.331,-6.8,-9.6,-25,0.65,0.07,69
Fuxian,47-2-138,1.338,-6.6,-9.1,-24.7,0.65,0.08,68
Fuxian,48-1-26,1.343,-6.9,-10.3,-24.6,0.56,0.07,81
Fuxian,49-1-6,1.375,-6.9,-9.8,-24.8,0.6,0.07,66
Fuxian,49-1-20,1.377,-6.5,-9.6,-24,0.58,0.07,49
Fuxian,49-2-46,1.408,-5.7,-10,-23.2,0.61,0.07,48
Fuxian,49-2-64,1.411,-5.7,-9.3,-23.3,0.64,0.07,40
Fuxian,49-2-96,1.416,-6,-9,-24.1,0.68,0.07,57
Fuxian,50-1-136,1.457,-5.7,-9.5,-23.5,0.69,0.09,46
Fuxian,50-1-150,1.463,-6,-9,-25.8,0.88,0.09,53
Fuxian,50-2-6,1.465,-6.4,-9.4,-24.3,0.63,0.08,71
Fuxian,50-2-124,1.494,-6.9,-10.2,-25.3,0.65,0.07,57
Fuxian,51-1-4,1.499,-6.1,-9.4,-24.5,0.71,0.08,40
Fuxian,51-1-32,1.504,-5.7,-9.5,-22.9,0.62,0.07,49
Fuxian,52-1-128,1.623,-6.6,-10.5,-23.9,0.54,0.06,46
Fuxian,52-2-80,1.644,-5.8,-9.7,-23,0.56,0.07,43
Fuxian,52-2-126,1.652,-5.7,-9.6,-23.2,0.6,0.07,24
Fuxian,53-1-56,1.665,-6,-9.4,-24.4,0.69,0.07,32
Fuxian,53-2-36,1.699,-5.5,-8.8,-23.9,0.74,0.08,42
Fuxian,54-1-104,1.712,-5.7,-9.4,-24.3,0.75,0.08,38
Fuxian,55-1-58,1.746,-5.5,-9.5,-24.2,0.8,0.08,31
Fuxian,55-1-142,1.756,-5.9,-9,-23,0.56,0.07,35
Fuxian,55-1-148,1.757,-6.1,-9.3,-23.1,0.54,0.07,47
Fuxian,56-2-100,1.861,-7.2,-9.8,-24.5,0.49,0.06,89
Fuxian,58-1-132,1.998,-5.6,-9.4,-23.5,0.64,0.07,38
Fuxian,58-2-32,2.002,-6,-9.2,-23.5,0.57,0.06,37
Fuxian,58-2-58,2.005,-5.9,-10,-24.1,0.65,0.07,47
Fuxian,60-1-40,2.055,-4.9,-8.8,-24.5,0.99,0.09,29
Fuxian,60-1-80,2.065,-5.3,-8.7,-24.3,0.85,0.08,32
Fuxian,60-1-120,2.075,-5.9,-9.6,-24.3,0.69,0.07,37
Fuxian,61-2-68,2.155,-4.6,-8.6,-22.6,0.77,0.08,21
Fuxian,61-2-120,2.160,-4.6,-9.5,-22.6,0.75,0.08,33
Fuxian,62-1-26,2.165,-4.8,-8.5,-23.6,0.83,0.08,29
Fuxian,62-2-2,2.237,-4.9,-9.2,-24.8,0.94,0.08,62
Fuxian,62-2-64,2.243,-5.7,-9.4,-24,0.71,0.07,78
Fuxian,62-2-78,2.245,-5.8,-10,-23.1,0.58,0.07,80
Fuxian,65-2-62,2.511,-4.2,-9.2,-23.9,1.04,0.1,47
Fuxian,65-2-144,2.518,-4.4,-9.2,-22.5,0.79,0.09,24
Fuxian,66-1-118,2.528,-5.6,-10.2,-24.4,0.74,0.07,43
Fuxian,66-2-50,2.535,-5.3,-9.3,-24.2,0.79,0.07,30
Zhaojiachuan,375,0.028,-6.5,-9.8,-22.4,0.43,0.07,49
Zhaojiachuan,1850,0.159,-6.2,-9.5,-23,0.56,0.07,34
Zhaojiachuan,2100,0.175,-6.7,-10.9,-22.9,0.46,0.07,63
Zhaojiachuan,2800,0.252,-7.2,-9.8,-24.6,0.54,0.06,47
Zhaojiachuan,4200,0.433,-6.4,-9.6,-24.4,0.74,0.08,38
Zhaojiachuan,5600,0.643,-6,-9.3,-24.3,0.76,0.08,29
Zhaojiachuan,5775,0.656,-5.9,-8.7,-24.9,0.88,0.08,27
Zhaojiachuan,5950,0.669,-6.2,-9,-24.7,0.77,0.08,39
Zhaojiachuan,6850,0.796,-6.2,-9,-24.1,0.73,0.08,24
Zhaojiachuan,7500,0.878,-5.5,-8.3,-25.2,1.04,0.12,21
Zhaojiachuan,7850,0.900,-6.1,-9.1,-25,0.79,0.07,36
Zhaojiachuan,8105,0.923,-6.1,-9.4,-25,0.8,0.08,29
Zhaojiachuan,8200,0.929,-6,-8.6,-25.4,0.88,0.08,31
Zhaojiachuan,8475,0.962,-5.9,-9.6,-24.3,0.74,0.08,49
Zhaojiachuan,8500,0.965,-5.7,-9.6,-24.3,0.78,0.09,46
Zhaojiachuan,8525,0.967,-5.9,-8.5,-24.6,0.78,0.09,46
Zhaojiachuan,8675,0.986,-5.6,-9.1,-24,0.73,0.08,52
Zhaojiachuan,8700,0.989,-6,-8.7,-24.8,0.76,0.07,53
Zhaojiachuan,8800,1.003,-5.7,-9.6,-24.3,0.76,0.08,59
Zhaojiachuan,9025,1.041,-5.9,-9.1,-25.1,0.84,0.09,42
Zhaojiachuan,9050,1.047,-6,-9.9,-24.1,0.7,0.08,49
Zhaojiachuan,9125,1.062,-6.1,-9.5,-24.8,0.69,0.06,65
Zhaojiachuan,9325,1.093,-5.6,-9.4,-24.9,0.82,0.07,44
Zhaojiachuan,9350,1.098,-6.2,-8.8,-24.6,0.66,0.07,47
Zhaojiachuan,9700,1.137,-5.9,-8.8,-24.8,0.8,0.08,34
Zhaojiachuan,10025,1.196,-6.3,-9.6,-25.1,0.74,0.07,46
Zhaojiachuan,10350,1.248,-5.6,-8.8,-25.4,0.95,0.11,26
Zhaojiachuan,10500,1.260,-5.8,-9.1,-25.6,0.87,0.08,34
Zhaojiachuan,10775,1.289,-5.6,-9.5,-25,0.85,0.08,31
Zhaojiachuan,11200,1.338,-6,-9.2,-25.8,0.87,0.08,44
Zhaojiachuan,11325,1.362,-6,-9.6,-24,0.64,0.07,54
Zhaojiachuan,11375,1.373,-6.1,-10,-24.9,0.73,0.08,49
Zhaojiachuan,11425,1.383,-6.1,-9.5,-25.6,0.77,0.07,57
Zhaojiachuan,11550,1.409,-5.8,-9.7,-24.6,0.74,0.07,52
Zhaojiachuan,11575,1.413,-5.8,-9.4,-25.3,0.84,0.07,46
Zhaojiachuan,11625,1.420,-6,-9.1,-24.9,0.73,0.08,50
Zhaojiachuan,11750,1.455,-5.9,-9.7,-24.7,0.78,0.09,47
Zhaojiachuan,11775,1.459,-6,-9.2,-25.5,0.86,0.1,37
Zhaojiachuan,11800,1.462,-6.1,-9.8,-25,0.76,0.08,36
Zhaojiachuan,11850,1.469,-5.8,-9.6,-25.2,0.83,0.09,53
Zhaojiachuan,12025,1.501,-6,-9.1,-25.8,0.88,0.07,40
Zhaojiachuan,12075,1.510,-6.3,-9.5,-26,0.83,0.07,52
Zhaojiachuan,12225,1.538,-6.1,-9.4,-25.5,0.83,0.09,46
Zhaojiachuan,12250,1.540,-6.5,-9.6,-25.6,0.76,0.08,44
Zhaojiachuan,12275,1.543,-6,-8.9,-25.3,0.83,0.08,45
Zhaojiachuan,12700,1.614,-5.9,-9.2,-25.5,0.8,0.07,37
Zhaojiachuan,12750,1.618,-5.7,-9.2,-25.3,0.81,0.07,29
Zhaojiachuan,12800,1.622,-5.4,-8.7,-25.7,0.92,0.07,25
Zhaojiachuan,13225,1.649,-5.5,-8.4,-25.7,0.9,0.07,20
Zhaojiachuan,13250,1.656,-5.4,-8.3,-25.6,0.92,0.07,23
Zhaojiachuan,13275,1.663,-5.3,-8.7,-25.7,0.95,0.08,23
Zhaojiachuan,13500,1.702,-5.9,-8.8,-25.7,0.88,0.08,31
Zhaojiachuan,13550,1.706,-5.8,-8.8,-26.2,0.96,0.08,26
