section,SID,age,d13c,d18c,d13o,R,R.sd,MS
Luochuan,17.5,0.216288889,-4.486,-8.812,-22.381,0.66 ,0.34 ,108
Luochuan,18.29,0.236284444,-7.145,-7.446,-25.063,0.50 ,0.24 ,156
Luochuan,18.71,0.24244963,-5.148,-9.141,-22.723,0.58 ,0.30 ,99
Luochuan,22.1,0.295,-7.279,-8.077,-23.688,0.35 ,0.13 ,223
Luochuan,22.31,0.30348,-6.291,-8.973,-24.145,0.54 ,0.14 ,205
Luochuan,22.49,0.31012,-6.145,-9.579,-23.345,0.47 ,0.15 ,196
Luochuan,22.7,0.317866667,-6.403,-8.646,-23.415,0.44 ,0.14 ,182
Luochuan,22.91,0.325613333,-6.896,-8.984,-24.652,0.49 ,0.14 ,182
Luochuan,23.09,0.332253333,-7.695,-8.006,-25.509,0.46 ,0.11 ,190
Luochuan,27.69,0.401758794,-7.839,-9.366,-25.4,0.42 ,0.08 ,137
Luochuan,28.3,0.410954774,-8.284,-8.583,-25.08,0.34 ,0.03 ,200
Luochuan,28.69,0.416834171,-7.902,-9.111,-24.493,0.33 ,0.03 ,218
Luochuan,28.9,0.42,-8.005,-7.469,-24.584,0.33 ,0.03 ,227
Luochuan,34.9,0.478874444,-6.129,-7.038,-24.335,0.62 ,0.18 ,109
Luochuan,38.3,0.584017021,-6.489,-8.561,-25.588,0.63 ,0.11 ,117
Luochuan,38.51,0.589450771,-6.922,-8.256,-25.465,0.55 ,0.10 ,115
Luochuan,45.5,0.698167021,-6.522,-4.886,-25.14,0.58 ,0.11 ,136
Luochuan,49.3,0.771230769,-6.979,-8.981,-25.824,0.63 ,0.13 ,101
Luochuan,49.51,0.774623077,-7.308,-8.96,-25.534,0.54 ,0.12 ,113
Luochuan,49.69,0.777530769,-7.824,-8.832,-24.689,0.38 ,0.11 ,133
Luochuan,49.9,0.780923077,-8,-7.255,-26.202,0.51 ,0.11 ,132
Luochuan,50.29,0.787223077,-6.687,-8.957,-25.054,0.59 ,0.12 ,111
Luochuan,54.1,0.866025,-5.898,-8.223,-23.952,0.67 ,0.21 ,116
Luochuan,63.49,0.936375802,-6.33,-7.937,-25.984,0.74 ,0.18 ,112
Luochuan,63.67,0.940400928,-7.52,-6.31,-24.912,0.44 ,0.14 ,146
Luochuan,64.31,0.954712486,-7.316,-7.41,-25.917,0.58 ,0.16 ,136
Luochuan,64.4,0.956725048,-6.647,-8.022,-24.933,0.58 ,0.17 ,126
Luochuan,68.19,1.016066021,-6.884,-7.618,-25.604,0.60 ,0.17 ,149
Luochuan,68.31,1.018688538,-7.226,-6.946,-24.322,0.42 ,0.15 ,163
Luochuan,68.55,1.023933571,-6.296,-7.999,-24.801,0.59 ,0.17 ,136
Luochuan,68.73,1.027867346,-5.636,-7.989,-25.079,0.74 ,0.20 ,121
Luochuan,68.8,1.029397147,-5.146,-9.642,-23.839,0.70 ,0.21 ,109
Luochuan,70.09,1.059053439,-6.085,-8.82,-26.014,0.81 ,0.16 ,105
Luochuan,70.45,1.067453439,-6.605,-7.594,-25.819,0.63 ,0.12 ,125
