age,IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',IIa,IIa',IIb,IIb',IIc,IIc',Ia,Ib,Ic,MATmrs,MASTsrs,BayMBT0
0.201,1%,2%,0%,0%,0%,1%,6%,10%,6%,3%,1%,1%,37%,20%,10%,18.4,17.5,20.5
0.209,1%,3%,0%,0%,0%,1%,4%,12%,5%,3%,1%,2%,37%,20%,9%,19.4,18.6,21.2
0.217,2%,3%,0%,1%,0%,0%,6%,12%,8%,4%,2%,2%,32%,20%,10%,17.5,16.2,18.6
0.225,1%,3%,0%,1%,0%,0%,5%,12%,6%,5%,1%,2%,33%,22%,9%,18.5,17.4,20.2
0.231,1%,4%,0%,1%,0%,0%,4%,13%,5%,5%,0%,2%,29%,17%,17%,19,17.4,21.2
0.237,1%,5%,0%,1%,0%,0%,5%,14%,7%,6%,1%,3%,25%,20%,11%,17.1,14.8,19.1
0.244,1%,2%,0%,1%,0%,1%,6%,8%,6%,3%,1%,1%,39%,21%,10%,18.1,17.1,20.5
0.251,1%,2%,0%,1%,0%,2%,6%,8%,8%,3%,1%,2%,28%,27%,12%,17.1,15.4,19.7
0.257,1%,3%,0%,1%,0%,1%,4%,11%,8%,6%,1%,3%,26%,25%,8%,17.7,16,19.1
0.261,2%,5%,1%,2%,0%,1%,7%,15%,10%,4%,1%,1%,32%,14%,4%,16.1,14.1,15.6
0.265,2%,5%,1%,1%,0%,1%,10%,16%,8%,5%,1%,1%,32%,15%,2%,14.6,12.2,15.6
0.267,2%,7%,1%,1%,0%,0%,8%,16%,8%,6%,0%,1%,28%,18%,3%,14.6,11.7,16.6
0.27,2%,10%,1%,1%,0%,0%,7%,16%,9%,6%,0%,1%,26%,16%,3%,14.8,11.5,15.7
0.273,3%,14%,1%,1%,0%,0%,6%,18%,9%,6%,0%,2%,23%,13%,3%,14.8,10.7,15.1
0.275,1%,21%,0%,1%,0%,0%,3%,30%,5%,5%,0%,3%,17%,8%,4%,17,11.3,16.7
0.282,2%,20%,1%,1%,0%,0%,4%,23%,7%,5%,0%,4%,16%,10%,6%,15.4,10.1,15.7
0.296,1%,10%,0%,1%,0%,1%,6%,13%,6%,5%,1%,4%,27%,16%,10%,16.4,12.4,18.9
0.314,2%,5%,1%,1%,0%,1%,7%,13%,10%,4%,1%,1%,28%,20%,6%,15.7,13.7,16.8
0.329,1%,2%,0%,0%,0%,4%,4%,8%,4%,2%,1%,2%,35%,28%,11%,19.4,18.9,22.7
0.337,1%,4%,0%,1%,0%,2%,6%,11%,5%,4%,1%,2%,34%,22%,9%,18.1,16.5,20.6
0.341,1%,2%,0%,1%,0%,1%,4%,8%,4%,4%,1%,3%,34%,25%,11%,19.4,18.7,22.3
0.343,2%,7%,0%,0%,0%,0%,3%,22%,4%,5%,1%,4%,33%,13%,6%,19.6,17.7,20.9
