"age","d11B","d11Bse","d18O","MgCa","species","d13C"
58.776,16.67,0.13,NA,3.59,"Grub",NA
58.759,NA,NA,NA,3.46,"Grub",NA
58.741,NA,NA,NA,3.72,"Grub",NA
58.724,NA,NA,NA,3.46,"Grub",NA
58.706,NA,NA,NA,3.43,"Grub",NA
58.688,NA,NA,-1.26,3.36,"Grub",4.4
58.671,NA,NA,-1.11,NA,"Grub",4.57
58.654,NA,NA,-0.9,3.39,"Grub",4.54
58.638,NA,NA,-0.92,3.51,"Grub",4.49
58.621,16.75,0.15,-1.13,3.5,"Grub",4.6
58.605,NA,NA,-1.05,3.41,"Grub",4.75
58.589,NA,NA,-0.98,NA,"Grub",4.42
58.571,NA,NA,-1.31,3.39,"Grub",4.53
58.553,NA,NA,-1.25,3.48,"Grub",4.72
58.534,NA,NA,-1.09,3.56,"Grub",4.74
58.516,NA,NA,-1.35,3.6,"Grub",4.58
58.497,NA,NA,-1.09,3.69,"Grub",4.47
58.479,NA,NA,-1.27,3.56,"Grub",4.86
58.46,NA,NA,-1.38,3.84,"Grub",4.86
58.441,15.95,0.13,-1.19,3.98,"Grub",4.25
58.421,NA,NA,-1.22,3.76,"Grub",4.48
58.402,NA,NA,-1.4,3.88,"Grub",4.33
58.383,NA,NA,-1.34,3.73,"Grub",4.74
58.363,NA,NA,-1.33,3.63,"Grub",4.99
58.344,NA,NA,-1.32,3.8,"Grub",4.44
58.328,NA,NA,NA,4.04,"Grub",NA
58.324,NA,NA,-1.62,3.81,"Grub",4.85
58.309,NA,NA,NA,4.22,"Grub",NA
58.309,NA,NA,NA,4.43,"Grub",NA
58.305,NA,NA,-1.36,3.74,"Grub",4.99
58.288,NA,NA,NA,3.93,"Grub",NA
58.288,NA,NA,NA,4.41,"Grub",NA
58.286,16.39,0.12,-1.54,3.82,"Grub",4.43
58.283,NA,NA,NA,3.85,"Grub",NA
58.279,NA,NA,NA,3.93,"Grub",NA
58.268,NA,NA,NA,4.15,"Grub",NA
58.268,NA,NA,NA,4.39,"Grub",NA
58.266,NA,NA,-1.07,3.98,"Grub",4.06
58.266,NA,NA,NA,4.11,"Grub",NA
58.257,NA,NA,NA,4.09,"Grub",NA
58.249,NA,NA,NA,4.09,"Grub",NA
58.249,NA,NA,NA,4.38,"Grub",NA
58.248,NA,NA,NA,3.95,"Grub",NA
58.247,NA,NA,-1.59,3.92,"Grub",4.83
58.24,NA,NA,NA,3.72,"Grub",NA
58.235,NA,NA,NA,4.02,"Grub",NA
58.229,NA,NA,NA,4.07,"Grub",NA
58.228,NA,NA,-1.6,3.83,"Grub",4.83
58.224,NA,NA,NA,4.09,"Grub",NA
58.218,NA,NA,NA,3.99,"Grub",NA
58.21,NA,NA,NA,4.06,"Grub",NA
58.208,NA,NA,-1.39,4.04,"Grub",4.74
58.202,NA,NA,NA,4.1,"Grub",NA
58.197,NA,NA,NA,4.37,"Grub",NA
58.192,NA,NA,NA,4.15,"Grub",NA
58.191,NA,NA,NA,4.47,"Grub",NA
58.191,NA,NA,NA,4.87,"Grub",NA
58.189,NA,NA,-1.46,4.01,"Grub",5.12
58.179,NA,NA,NA,4.37,"Grub",NA
58.173,NA,NA,NA,4.55,"Grub",NA
58.171,NA,NA,NA,4.19,"Grub",NA
58.169,NA,NA,-1.43,3.98,"Grub",4.92
58.162,NA,NA,NA,4.36,"Grub",NA
58.154,NA,NA,NA,4.69,"Grub",NA
58.153,NA,NA,NA,4.29,"Grub",NA
58.153,NA,NA,NA,4.43,"Grub",NA
58.15,NA,NA,-1.47,4.18,"Grub",4.64
58.149,NA,NA,NA,4.24,"Grub",NA
58.149,NA,NA,NA,4.25,"Grub",NA
58.136,NA,NA,NA,4.08,"Grub",NA
58.136,NA,NA,NA,4.2,"Grub",NA
58.133,16.53,0.22,NA,3.93,"Grub",NA
58.131,NA,NA,-1.54,4.03,"Grub",4.96
58.128,NA,NA,NA,4.31,"Grub",NA
58.128,NA,NA,NA,4.64,"Grub",NA
58.119,NA,NA,NA,4.17,"Grub",NA
58.116,NA,NA,NA,4.33,"Grub",NA
58.113,NA,NA,-1.3,4.07,"Grub",4.88
58.112,NA,NA,NA,4.29,"Grub",NA
58.11,NA,NA,NA,4.32,"Grub",NA
58.102,16.5,0.1,NA,4.37,"Grub",NA
58.101,16.67,0.12,NA,4.4,"Grub",NA
58.099,16.22,0.14,-1.19,4.16,"Grub",4.69
58.096,NA,NA,NA,4.21,"Grub",NA
58.091,NA,NA,NA,4.4,"Grub",NA
58.086,15.3,0.1,NA,4.33,"Grub",NA
58.086,16.24,0.1,-1.59,4.47,"Grub",4.72
58.081,15.53,0.1,NA,4.57,"Grub",NA
58.074,NA,NA,NA,4.22,"Grub",NA
58.074,NA,NA,NA,4.24,"Grub",NA
58.073,NA,NA,NA,4.62,"Grub",NA
58.071,NA,NA,-1.54,4.27,"Grub",4.89
58.068,16.32,0.12,NA,4.34,"Grub",NA
58.068,NA,NA,NA,4.47,"Grub",NA
58.064,16.3,0.1,NA,4.35,"Grub",NA
58.064,NA,NA,NA,4.43,"Grub",NA
58.057,NA,NA,-1.59,4.01,"Grub",4.99
58.057,NA,NA,NA,4.37,"Grub",NA
58.045,16.53,0.1,NA,4.33,"Grub",NA
58.043,NA,NA,-1.43,3.82,"Grub",5.55
58.029,NA,NA,-1.62,4.07,"Grub",5.19
58.029,NA,NA,NA,3.94,"Grub",NA
58.015,NA,NA,-1.12,4.03,"Grub",4.7
58.001,NA,NA,-1.52,3.89,"Grub",4.95
58.001,NA,NA,-1.4,4.27,"Grub",5.09
57.99,NA,NA,NA,3.93,"Grub",NA
57.987,16.47,0.13,-1.65,3.88,"Grub",4.89
57.976,NA,NA,NA,3.9,"Grub",NA
57.973,NA,NA,-1.52,3.77,"Grub",5.1
57.962,NA,NA,NA,4.03,"Grub",NA
57.959,NA,NA,-1.57,3.71,"Grub",5.6
57.945,NA,NA,-1.37,3.83,"Grub",4.84
57.931,NA,NA,-1.35,3.79,"Grub",5.02
57.917,NA,NA,-1.34,3.78,"Grub",5.05
57.903,NA,NA,-1.36,3.67,"Grub",4.85
57.876,NA,NA,-1.49,3.71,"Grub",5.32
57.862,NA,NA,-1.37,3.43,"Grub",4.96
57.851,NA,NA,-1.3,NA,"Grub",4.75
57.848,NA,NA,-1.37,3.57,"Grub",5.07
57.834,NA,NA,-1.38,3.79,"Grub",5.38
57.82,NA,NA,-1.32,3.59,"Grub",4.94
57.806,16.67,0.1,-1.53,3.52,"Grub",5.18
