Core,Sample Mid-point Depth (m),CO2 (ppm),CO2 uncertainty (1 std err)1,delta_13C of CO2 (per mil; wrt to NOAA standard)2,Ar age (ka),Age classification,Excluded?
ALHIC1502,176.61,224.27,0.82,,1500,Pre-MPT,
ALHIC1502,177.03,233.19,0.59,,1500,Pre-MPT,
ALHIC1502,177.71,227.43,,-6.471,1500,Pre-MPT,
ALHIC1502,177.855,223.04,1.06,,1500,Pre-MPT,
ALHIC1502,178.255,219.07,0.7,-6.471,1500,Pre-MPT,
ALHIC1502,178.555,216.79,0.94,,1500,Pre-MPT,
ALHIC1502,178.765,219.21,0.57,,1500,Pre-MPT,
ALHIC1502,180.005,223,0.74,,460,Young,
ALHIC1502,181.665,226.4,0.02,,460,Young,
ALHIC1502,183.195,230.37,0.4,,460,Young,
ALHIC1502,183.615,230.6,0.67,,2000,Pre-MPT,
ALHIC1502,184.185,241.2,1.5,,2000,Pre-MPT,
ALHIC1502,184.405,234.1,1.37,,2000,Pre-MPT,
ALHIC1502,185.275,230.94,0.13,,2000,Pre-MPT,
ALHIC1502,185.95,237.69,,-7.248,2000,Pre-MPT,Yes
ALHIC1502,186.095,297.94,0.87,,2000,Pre-MPT,Yes
ALHIC1502,187.535,225.86,,-7.021,2000,Pre-MPT,Yes
ALHIC1502,187.565,240.26,,,2000,Pre-MPT,Yes
ALHIC1502,187.695,271.1,,-7.248,2000,Pre-MPT,Yes
ALHIC1502,189.865,263.09,2.87,,880,n/a,Yes
ALHIC1502,190.075,368.43,10.83,,880,n/a,Yes
ALHIC1502,190.98,289.65,,-9.844,880,n/a,Yes
ALHIC1503,115.5,221.65,0.61,,950,MPT,
ALHIC1503,116.17,227.75,0.19,,950,MPT,
ALHIC1503,116.82,273.16,0.36,,950,MPT,
ALHIC1503,117.38,255.52,0.63,,950,MPT,
ALHIC1503,118.36,230.37,8.55,,950,MPT,
ALHIC1503,118.54,240.66,1.12,,950,MPT,
ALHIC1503,118.81,241.44,0.82,,950,MPT,
ALHIC1503,118.98,230.11,3.91,,950,MPT,
ALHIC1503,119.43,246.6,0.64,,950,MPT,
ALHIC1503,120.17,246.95,0.22,,950,MPT,
ALHIC1503,121.75,274.35,3.74,,950,MPT,
ALHIC1503,122.34,277.35,0.42,,950,MPT,
ALHIC1503,122.8,246.48,0.36,,950,MPT,
ALHIC1503,123.42,240.78,0.01,,950,MPT,
ALHIC1503,124.09,269.48,0.7,,950,MPT,
ALHIC1503,124.75,263.86,1.25,,950,MPT,
ALHIC1503,126.37,236.68,0,,950,MPT,
ALHIC1503,126.535,240.79,0.28,,950,MPT,
ALHIC1503,126.845,245.91,1.23,,950,MPT,
ALHIC1503,127.715,250.81,,,950,MPT,
ALHIC1503,127.845,253.62,,,950,MPT,
ALHIC1503,128.625,253.83,0.13,,950,MPT,
ALHIC1503,129.335,260.96,0.57,,950,MPT,
ALHIC1503,130.015,256.23,2.35,,1500,Pre-MPT,
ALHIC1503,130.435,258.89,1.32,,1500,Pre-MPT,
ALHIC1503,130.625,265.7,,-6.999,1500,Pre-MPT,
ALHIC1503,130.795,255.28,0.79,,1500,Pre-MPT,
ALHIC1503,131.055,241.95,0.99,,1500,Pre-MPT,
ALHIC1503,131.625,264.64,,,1500,Pre-MPT,
ALHIC1503,131.755,214.32,,,1500,Pre-MPT,
ALHIC1503,131.905,279.48,1.95,,1500,Pre-MPT,
ALHIC1503,132.815,231.76,0.51,,1500,Pre-MPT,
ALHIC1503,133.1,228.53,,-6.153,1500,Pre-MPT,
ALHIC1503,133.245,229.95,2.72,,1500,Pre-MPT,
ALHIC1503,133.595,227.49,1.13,,1500,Pre-MPT,
ALHIC1503,133.905,225.99,0.55,,1500,Pre-MPT,
ALHIC1503,134.615,230.46,1.21,,1500,Pre-MPT,
ALHIC1503,134.865,221.23,1.01,,1500,Pre-MPT,
ALHIC1503,135.105,225.32,3.14,,1500,Pre-MPT,
ALHIC1503,135.555,216.97,0.44,,1500,Pre-MPT,
ALHIC1503,135.815,218.78,2.07,,1500,Pre-MPT,
ALHIC1503,136.105,225.84,0.53,,1500,Pre-MPT,
ALHIC1503,136.365,219.54,0.15,,1500,Pre-MPT,
ALHIC1503,136.615,219.71,2.42,,1500,Pre-MPT,
ALHIC1503,136.915,225.44,1.21,,1500,Pre-MPT,
ALHIC1503,137.595,228.96,,-6.602,1500,Pre-MPT,
ALHIC1503,137.742,221.37,3.61,,1500,Pre-MPT,
ALHIC1503,138.005,227.24,0.23,,1500,Pre-MPT,
ALHIC1503,138.235,227.25,0.35,,1500,Pre-MPT,
ALHIC1503,138.975,227.05,0.46,,680,Young,
ALHIC1503,139.625,248.17,,-7.576,680,Young,Yes
ALHIC1503,139.765,253.01,0.93,,680,Young,Yes
ALHIC1503,140.265,225.9,,,680,Young,Yes
ALHIC1503,140.395,219.67,,,680,Young,Yes
ALHIC1503,141.185,233.34,1.17,,2000,Pre-MPT,Yes
ALHIC1503,142.235,332.24,,-9.918,2000,Pre-MPT,Yes
ALHIC1503,142.375,281.43,0.06,,2000,Pre-MPT,Yes
ALHIC1503,142.805,239.83,0.23,,1500,Pre-MPT,Yes
