age,co2,lower,higher,reference,paper,co2_lower,co2_higher
2.34723,369.1,85.2,73.04,"Martínez-Botí, M. A., G. L. Foster, T. B. Chalk, E. J. Rohling, P. F. Sexton, D. J. Lunt, R. D. Pancost, M. P. S. Badger and D. N. Schmidt (2015). ""Plio-Pleistocene climate sensitivity evaluated using high-resolution CO2 records."" Nature 518(7537): 49-54.",Boti et al. (2015),283.90000000000003,442.14000000000004
2.41717,441.68,115.13,94.29,"Martínez-Botí, M. A., G. L. Foster, T. B. Chalk, E. J. Rohling, P. F. Sexton, D. J. Lunt, R. D. Pancost, M. P. S. Badger and D. N. Schmidt (2015). ""Plio-Pleistocene climate sensitivity evaluated using high-resolution CO2 records."" Nature 518(7537): 49-54.",Boti et al. (2015),326.55,535.97
2.49836,422.79,97.96,84.97,"Martínez-Botí, M. A., G. L. Foster, T. B. Chalk, E. J. Rohling, P. F. Sexton, D. J. Lunt, R. D. Pancost, M. P. S. Badger and D. N. Schmidt (2015). ""Plio-Pleistocene climate sensitivity evaluated using high-resolution CO2 records."" Nature 518(7537): 49-54.",Boti et al. (2015),324.83000000000004,507.76
1.53,189.11,30.57,25.78,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),158.54000000000002,214.89000000000001
1.88,177.29,27.48,23.97,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),149.81,201.26
2.21,243.86,38.49,32.23,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),205.37,276.09000000000003
2.55,230.77,30.81,28.79,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),199.96,259.56
0.93047,246.73,24.66,22.63,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),222.07,269.36
1.42626,215.01,25.54,22.22,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),189.47,237.23
2.01929,364.61,50.12,44.01,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),314.49,408.62
1.08726,232.86,27.37,24.96,"Sosdian, S.M., Greenop, R., Hain, M.P., Foster, G.L., Pearson, P.N. and Lear, C.H. (2018) Constraining the evolution of Neogene ocean carbonate chemistry using the boron isotope pH proxy. Earth and Planetary Science Letters 498, 362-376.",Sosdian et al. (2018),205.49,257.82
