"","age","ice_forcing"
"1",2.58,0.04
"2",2.579,0.05
"3",2.578,0.02
"4",2.577,-0.05
"5",2.576,-0.12
"6",2.575,-0.21
"7",2.574,-0.26
"8",2.573,-0.28
"9",2.572,-0.3
"10",2.571,-0.31
"11",2.57,-0.34
"12",2.569,-0.38
"13",2.568,-0.45
"14",2.567,-0.53
"15",2.566,-0.59
"16",2.565,-0.62
"17",2.564,-0.62
"18",2.563,-0.59
"19",2.562,-0.55
"20",2.561,-0.49
"21",2.56,-0.46
"22",2.559,-0.44
"23",2.558,-0.43
"24",2.557,-0.43
"25",2.556,-0.41
"26",2.555,-0.38
"27",2.554,-0.33
"28",2.553,-0.26
"29",2.552,-0.18
"30",2.551,-0.11
"31",2.55,-0.07
"32",2.549,-0.05
"33",2.548,-0.04
"34",2.547,-0.04
"35",2.546,-0.05
"36",2.545,-0.07
"37",2.544,-0.11
"38",2.543,-0.17
"39",2.542,-0.29
"40",2.541,-0.47
"41",2.54,-0.73
"42",2.539,-1.08
"43",2.538,-1.39
"44",2.537,-1.64
"45",2.536,-1.82
"46",2.535,-1.93
"47",2.534,-2.03
"48",2.533,-2.12
"49",2.532,-2.2
"50",2.531,-2.25
"51",2.53,-2.3
"52",2.529,-2.35
"53",2.528,-2.4
"54",2.527,-2.45
"55",2.526,-2.49
"56",2.525,-2.5
"57",2.524,-2.51
"58",2.523,-2.52
"59",2.522,-2.54
"60",2.521,-2.57
"61",2.52,-2.57
"62",2.519,-2.56
"63",2.518,-2.51
"64",2.517,-2.43
"65",2.516,-2.31
"66",2.515,-2.14
"67",2.514,-2
"68",2.513,-1.91
"69",2.512,-1.81
"70",2.511,-1.69
"71",2.51,-1.46
"72",2.509,-1.14
"73",2.508,-0.84
"74",2.507,-0.59
"75",2.506,-0.44
"76",2.505,-0.41
"77",2.504,-0.37
"78",2.503,-0.31
"79",2.502,-0.25
"80",2.501,-0.17
"81",2.5,-0.14
"82",2.499,-0.15
"83",2.498,-0.21
"84",2.497,-0.3
"85",2.496,-0.44
"86",2.495,-0.6
"87",2.494,-0.88
"88",2.493,-1.28
"89",2.492,-1.66
"90",2.491,-2.03
"91",2.49,-2.32
"92",2.489,-2.53
"93",2.488,-2.66
"94",2.487,-2.7
"95",2.486,-2.71
"96",2.485,-2.69
"97",2.484,-2.62
"98",2.483,-2.49
"99",2.482,-2.32
"100",2.481,-2.13
"101",2.48,-1.96
"102",2.479,-1.81
"103",2.478,-1.59
"104",2.477,-1.32
"105",2.476,-1.1
"106",2.475,-0.95
"107",2.474,-0.77
"108",2.473,-0.56
"109",2.472,-0.43
"110",2.471,-0.36
"111",2.47,-0.29
"112",2.469,-0.23
"113",2.468,-0.17
"114",2.467,-0.13
"115",2.466,-0.09
"116",2.465,-0.07
"117",2.464,-0.06
"118",2.463,-0.07
"119",2.462,-0.09
"120",2.461,-0.13
"121",2.46,-0.16
"122",2.459,-0.19
"123",2.458,-0.21
"124",2.457,-0.23
"125",2.456,-0.3
"126",2.455,-0.4
"127",2.454,-0.63
"128",2.453,-0.98
"129",2.452,-1.31
"130",2.451,-1.61
"131",2.45,-1.85
"132",2.449,-2.02
"133",2.448,-2.15
"134",2.447,-2.24
"135",2.446,-2.3
"136",2.445,-2.34
"137",2.444,-2.36
"138",2.443,-2.36
"139",2.442,-2.37
"140",2.441,-2.39
"141",2.44,-2.4
"142",2.439,-2.41
"143",2.438,-2.43
"144",2.437,-2.46
"145",2.436,-2.48
"146",2.435,-2.51
"147",2.434,-2.52
