site,SID,age,d13C,d18O,d13Co,D47,D47.sd
Lantian,1#1330,2.64,-6.9,-9.5,-22.8,,
Lantian,1#1360,2.65,-6.4,-9.3,-24.1,,
Lantian,1#1420,2.68,-6.5,-9.4,-24.8,,
Lantian,1#1600,2.74,-6.1,-9.2,-22.7,,
Lantian,1#1750,2.8,-6.6,-8.6,-23.4,0.632,0.009
Lantian,1#1780,2.81,-4.8,-8.9,-22.4,,
Lantian,2#0,2.87,-5.9,-8.7,-23.9,,
Lantian,2#50,2.9,-6.9,-8.5,-23.5,,
Lantian,2#100,2.93,-6.9,-8.6,-23.1,,
Lantian,2#150,2.96,-7,-8.6,-23.7,,
Lantian,2#200,2.99,-7.5,-8.9,-23.8,,
Lantian,2#250,3.03,-7.1,-9,-24.3,,
Lantian,2#300,3.06,-8.1,-8.9,-23.3,,
Lantian,2#350,3.09,-7.6,-9.1,-23.4,0.623,0.011
Lantian,2#400,3.12,-7.9,-8.8,-23.1,,
Lantian,2#450,3.15,-7.9,-9,-22.6,,
Lantian,2#500,3.18,-7.9,-8.4,-23.1,,
Lantian,2#550,3.21,-7.8,-8.4,-23.5,,
Lantian,2#600,3.24,-8.5,-8.9,-24.3,,
Lantian,2#650,3.29,-8.3,-9.1,-23.4,,
Lantian,2#700,3.33,-8.2,-8.7,-23.2,,
Lantian,2#750,3.38,-8.7,-8.4,-23.9,,
Lantian,2#800,3.42,-8.2,-9.1,-24.4,,
Lantian,2#850,3.47,-8.2,-9.3,-22.2,,
Lantian,2#950,3.56,-8.1,-8.8,-24.1,,
Lantian,3#0,3.59,-9.5,-9.9,-24.5,,
Lantian,3#100,3.63,-9.7,-9.7,-23.6,,
Lantian,3#200,3.66,-10.1,-9.3,-24.5,,
Lantian,3#250,3.68,-9.7,-10.1,-23.8,0.597,0.011
Lantian,3#300,3.7,-9.4,-9.7,-25.1,,
Lantian,3#350,3.72,-9.9,-9.8,-24.6,,
Lantian,3#600,3.82,-9.8,-9.9,-24,,
Lantian,3#700,3.86,-9.5,-9.7,-23.8,,
Lantian,3#800,3.89,-9.8,-10,-24.3,,
Lantian,3#900,3.93,-9.5,-9.9,-25.5,,
Lantian,3#950,3.95,-9.7,-10.4,-24.5,,
Lantian,3#1000,3.97,-8.9,-9.9,-24.6,,
Lantian,3#1100,4,-9.2,-10.1,-23.8,,
Lantian,3#1200,4.02,-9.3,-10.1,-23.7,,
Lantian,3#1250,4.03,-9.3,-10,-24.5,,
Lantian,3#1300,4.04,-9.3,-10,-24.2,,
Lantian,3#1400,4.07,-9.3,-10.3,-25,,
Lantian,3#1500,4.1,-9.7,-10.5,-24.2,,
Lantian,3#1600,4.17,-9.4,-10.1,-24.6,,
Lantian,3#1700,4.24,-9.2,-10.1,-25.4,,
Lantian,3#1800,4.3,-9.6,-9.8,-24.9,,
Lantian,3#1900,4.37,-9.5,-10.3,-24.7,,
Lantian,3#2000,4.41,-9.9,-10.1,-24.7,,
Lantian,3#2100,4.46,-9.4,-10.7,-25.2,,
Lantian,3#2200,4.5,-9.4,-10.8,-25.8,0.589,0.013
Lantian,3#2300,4.55,-9.4,-10.5,-26.2,,
Lantian,3#2400,4.59,-9,-9,-25,,
Lantian,3#2500,4.64,-8.5,-8.2,-24.3,,
Lantian,3#2600,4.69,-9.4,-9.5,-24.8,,
Lantian,3#2700,4.76,-8.9,-8.4,-24.9,,
Lantian,3#2800,4.84,-9.3,-10.2,-24.6,,
Lantian,3#2900,4.91,-9.7,-10.2,-25.1,,
Lantian,3#3000,4.99,-9.4,-9.4,-25.5,,
Lantian,3#3100,5.03,-9.6,-10.1,-25.6,,
Lantian,3#3200,5.08,-9.6,-10.2,-25.2,,
Lantian,3#3300,5.12,-8.7,-7.9,-25.3,,
Lantian,3#3400,5.18,-8.9,-9,-25.3,,
Lantian,3#3500,5.25,-9.2,-9.5,-25.4,,
Lantian,3#3600,5.31,-9.8,-10.2,-25.5,0.594,0.013
Lantian,3#3700,5.37,-9.8,-10.3,-26.1,,
Lantian,3#3800,5.45,-9.6,-10.3,-25.7,,
Lantian,3#3900,5.52,-9.3,-10.2,-25.3,,
Lantian,3#4000,5.6,-9.1,-10.1,-24.9,0.634,0.024
Lantian,3#4100,5.68,-8.8,-9,-25,,
Lantian,3#4200,5.93,-8.9,-9.2,-26,,
Lantian,3#4300,6.02,-9.7,-9.8,-25.5,,
Lantian,3#4400,6.12,-9.1,-9.9,-25.4,,
Lantian,3#4500,6.16,-8.6,-8.9,-25.2,0.608,0.013
Lantian,3#4700,6.23,-7.8,-8.4,-25.4,,
