site,age,d13C,d18O,d13Co
Zhaojiachuan,0.028,-6.5,-9.8,-22.422
Zhaojiachuan,0.11,-7.4,-9.3,-22.297
Zhaojiachuan,0.21,-5.5,-8.9,-21.464
Zhaojiachuan,0.327,-6.9,-8.4,-22.344
Zhaojiachuan,0.404,-7.2,-8.7,-22.88
Zhaojiachuan,0.533,-6.5,-9.2,-22.645
Zhaojiachuan,0.643,-6,-9.3,-24.294
Zhaojiachuan,0.702,-4.6,-9.5,-21.424
Zhaojiachuan,0.796,-6.2,-9,-24.13
Zhaojiachuan,0.9,-6.1,-9.1,-25.03
Zhaojiachuan,1.003,-5.7,-9.6,-24.347
Zhaojiachuan,1.098,-6.2,-8.8,-24.555
Zhaojiachuan,1.196,-6.3,-9.6,-25.147
Zhaojiachuan,1.338,-6,-9.2,-25.827
Zhaojiachuan,1.409,-5.8,-9.7,-24.642
Zhaojiachuan,1.501,-6,-9.1,-25.838
Zhaojiachuan,1.614,-5.9,-9.2,-25.538
Zhaojiachuan,1.702,-5.9,-8.8,-25.697
Zhaojiachuan,1.9,-5.4,-8.7,-25.74
Zhaojiachuan,2.005,-5.7,-8.9,-25.766
Zhaojiachuan,2.111,-4.8,-8.1,-25.29
Zhaojiachuan,2.238,-4.9,-9.2,-24.884
Zhaojiachuan,2.284,-5,-9.1,-25.474
Zhaojiachuan,2.402,-4.1,-9.1,-25.802
Zhaojiachuan,2.517,-4.9,-9,-25.615
Zhaojiachuan,2.606,-4.2,-9,-22.726
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
