"","age","pCO2","pCO2_sd","pCO2_rhat","pCO2_n.eff","MAT","MAT_sd","MAT_rhat","MAT_n.eff","PCQ_to","PCQ_to_sd","PCQ_to_rhat","PCQ_to_n.eff","tsc","tsc_sd","tsc_rhat","tsc_n.eff","MAP","MAP_sd","MAP_rhat","MAP_n.eff","PCQ_pf","PCQ_pf_sd","PCQ_pf_rhat","PCQ_pf_n.eff","Tsoil","Tsoil_sd","Tsoil_rhat","Tsoil_n.eff","S_z","S_z_sd","S_z_rhat","S_z_n.eff","f_R","f_R_sd","f_R_rhat","f_R_n.eff","spre","spre_sd","spre_rhat","spre_n.eff","pore","pore_sd","pore_rhat","pore_n.eff","temp_diff","temp_diff_sd","temp_diff_rhat","temp_diff_n.eff"
"1",0.021,346.507878066435,128.155546228967,1.00049856474139,3000,8.62278310131895,3.4772621758532,1.00140910595058,2200,10.7315875505252,2.32262754561348,1.001239738813,2700,0.282024999211304,0.156261247469941,1.00538656638164,1100,678.692481232696,208.545878171705,1.00068163384867,3000,0.474955274617315,0.142176062142037,1.00161137751431,1800,11.0949110260875,5.14925818827586,1.00239826445833,1100,2474.50713056926,3677.9638124093,1.003063811573,960,0.142300446357752,0.0703440569045415,1.00166107436229,3000,0.555498403617572,0.0708350575060758,1.00080667041719,3000,0.494368147082941,0.0258177398519085,1.000663232481,3000,5.0307903513962,2.89157060807866,1.00054600402076,3000
"2",0.026,325.373992701428,122.932368833992,1.00086330829456,3000,7.79984407850246,3.04220094665595,1.000644712578,3000,10.7754731958687,2.35125302605634,1.00085346755514,3000,0.342667377221492,0.151474245322975,1.00411011514551,860,704.38229766502,192.417906064269,1.00067402888429,3000,0.472215029626198,0.146404784967558,1.00110238701771,3000,10.9314329535541,4.52068631587069,1.00422008370991,1000,3581.75562829953,7048.04307343981,1.00240493314436,3000,0.153010303114421,0.0754328207089461,1.0029393277792,820,0.559585049917306,0.0718480521486319,1.00148066577152,2000,0.49198799427555,0.0258049538936864,1.00065494340658,3000,4.98263175372404,2.9311148294562,1.00057148310619,3000
"3",0.07,344.598644724973,128.213809281021,1.00076951475902,3000,8.52982355147097,3.36826321346772,1.00079864354399,3000,10.7242523645864,2.29986030911563,1.0005356264563,3000,0.293611269815088,0.15818612308681,1.0006842733721,3000,659.589047035324,209.281510803944,1.0005090791411,3000,0.464061242948407,0.134167472733413,1.00055898928846,3000,11.1966573790213,5.02500061690448,1.00073163310757,3000,1858.50010808627,1045.40522940788,1.00059879984254,3000,0.136755176547879,0.0686840234011285,1.00074290336855,3000,0.557896273841158,0.0692047821695525,1.00108574137079,3000,0.49417581822303,0.0259894617062991,1.00106475841599,3000,4.99272880538994,2.9000499457552,1.00059328548946,3000
"4",0.136,333.866877512326,124.748125859523,1.0012630500872,2600,7.92529543161929,3.15783685362582,1.0018389581994,1500,10.8022071847014,2.30394493110879,1.00059150048619,3000,0.335526903109725,0.15503166221274,1.00280408483933,2000,706.897459647963,192.696580516939,1.00097374941544,3000,0.483713278357999,0.155946382479392,1.00094368415599,3000,10.9118589436583,4.63737243409341,1.00064728592542,3000,4758.52036474713,12002.0433027359,1.00121704366755,3000,0.151985780323157,0.0773477380635354,1.00111155236806,3000,0.560781389010043,0.0697410757564083,1.00050513225445,3000,0.491763965438953,0.0259379002620561,1.00083511402751,3000,5.00577205691048,2.94332149044035,1.00109861760337,3000
"5",0.139,328.851783283198,123.893297923178,1.0008829469831,3000,7.44619587218621,2.90270913720767,1.0009515952225,3000,10.8777599676917,2.34444312374402,1.00100608024504,3000,0.373183410508366,0.142139351526229,1.00097894495042,3000,723.372601106735,186.990065958915,1.00074621317271,3000,0.476213791900806,0.154534936116319,1.00055484158513,3000,10.8139603235546,4.18416608166147,1.00327108138327,3000,5154.33209988444,13116.1660185548,1.00208929666591,3000,0.158144963341032,0.076187363309879,1.00182445982915,1500,0.562189202033513,0.0709801018743651,1.00057725677216,3000,0.491851454100618,0.0256944638602937,1.00125485574246,2600,5.0820224547202,2.91687257064833,1.00055900419641,3000
"6",0.143,332.709482650156,125.959934452533,1.0025782567039,960,7.80996978048011,3.11922098333569,1.00081942454174,3000,10.8072457659237,2.33574825204979,1.00187159311049,1500,0.341433878860221,0.148384334366534,1.00489779857014,3000,693.148349742311,195.557704610751,1.00121570674146,2800,0.453806063025016,0.134834170326191,1.00052772474057,3000,11.0343442993336,4.47852690882769,1.00062962266601,3000,2545.22766890078,3574.1687105424,1.00217906651738,1200,0.153171812579086,0.074897171578413,1.00130447671066,2500,0.561732817661531,0.0718734592102999,1.00100441452801,3000,0.492842912163227,0.0256208834917636,1.00070199086634,3000,4.96057821719228,2.88255397622013,1.00163192234926,2700
"7",0.15,343.88693036618,128.347963179694,1.0007294113284,3000,8.27177972743089,3.27082526617537,1.00053987121287,3000,10.6768052199404,2.29979043710586,1.00055512906277,3000,0.30176291295591,0.155629509713262,1.0014791741984,3000,666.088460616243,207.037762624152,1.0005163684714,3000,0.463108453576944,0.137254681321234,1.00070732061863,3000,11.0647434887543,4.91922502195325,1.00209836650669,2700,2158.73740113431,3513.23891904507,1.00096062344869,3000,0.141493858208897,0.0720366083844165,1.00060787929143,3000,0.56001308935972,0.0684757755016911,1.00057972348711,3000,0.493287624423003,0.0257127409132656,1.00262300047881,940,5.01495381565837,2.92365006193999,1.0008090014117,3000
"8",0.179,352.168912006414,129.122991774834,1.0014041831602,2200,8.6612533487307,3.43186067950636,1.00143280869876,2100,10.6722210428291,2.32387692403231,1.00060881840211,3000,0.280347270361105,0.159217447241827,1.00076132317071,3000,640.284297811933,216.26100294849,1.0035615359138,740,0.468797894740714,0.137022109773679,1.00111392301257,3000,11.2119347370882,5.16434938093541,1.00129433507908,3000,1801.3039835816,1157.98113615109,1.00091066940195,3000,0.136045067368203,0.0697919710177446,1.00299810960491,1400,0.555983458164519,0.0706337654261131,1.00050155016372,3000,0.495294917846238,0.0259015453209049,1.00174387612354,1600,4.91010472866082,2.88935415174584,1.00127034263897,2600
"9",0.259,351.797054997763,127.287294816124,1.00063495483091,3000,8.0761036218214,3.24363638745799,1.00071484854445,3000,10.6827599615823,2.29765346640837,1.00067978124165,3000,0.317203658655766,0.154259005787082,1.00094798307721,3000,665.701727119625,207.125750481713,1.00072799650383,3000,0.459027530021885,0.138440874744811,1.00050000176152,3000,11.0634794971932,4.75059505910412,1.00058793693319,3000,2000.93448493112,1536.67023992464,1.00113864000565,3000,0.141958722324499,0.0712422319916392,1.00139978120219,3000,0.561411173989144,0.0679885654265522,1.00100211724198,3000,0.493431142621371,0.0253036366735657,1.00289957571888,840,4.96419872067094,2.88637308524454,1.00141126196404,2200
"10",0.28,333.035763507665,125.133740699283,1.00073615151969,3000,7.55886664941489,2.94181868697784,1.00075634645777,3000,10.8522223149242,2.33792170642013,1.00067431833624,3000,0.361180320427914,0.140617343493432,1.00539227532789,1000,688.996408071899,195.03252369871,1.00120685950406,2800,0.445774007466321,0.133294817213655,1.00124778095834,2700,11.0720067314414,4.25956271669426,1.00139365656158,2200,2104.84111296273,1420.4605287039,1.00117689100872,2900,0.149259473609942,0.0725077856249635,1.00205838317427,2400,0.56256083206101,0.0695182480113814,1.00160974755264,1800,0.492881444267655,0.0258530016316997,1.00211739141584,1200,5.0333805924051,2.8971899620413,1.00237740868024,2700
"11",0.294,341.286875553247,127.273581246806,1.00233348346499,1100,7.52917873961747,2.96276061831705,1.00064398063891,3000,10.8915037072145,2.32929011439104,1.00103998001238,3000,0.349698999181467,0.143227678996426,1.00503923008395,760,680.475901071168,200.77050437648,1.00411915042943,690,0.43420048939341,0.122371925970992,1.00365228723673,640,11.0353507973164,4.34886594188132,1.00414867506752,950,1803.7271929614,3729.55456313172,1.00312698630561,760,0.142119472148533,0.0707513754993747,1.00328398406229,750,0.564435279904863,0.0701620833462202,1.00154140638268,1900,0.493491202548665,0.0254728912162079,1.00086120457818,3000,4.96822912036565,2.84845693538091,1.00230075072621,1300
"12",0.298,345.438974679675,127.510852305935,1.00070744239939,3000,8.39804219395843,3.34502715950629,1.00069553227876,3000,10.7804629022149,2.31184824551726,1.00345595312143,680,0.286711930961031,0.156790105274826,1.00156436296229,1900,643.442174419426,211.992531118099,1.00052786610414,3000,0.459331265434885,0.129346480245556,1.00121276787582,2800,11.0829028637862,5.06539661771833,1.00066873799494,3000,1779.34019752628,1278.17532667574,1.00087084062341,3000,0.138052066620856,0.0699870118688057,1.00172587588084,2100,0.555138321701815,0.0703442351729409,1.00091375946298,3000,0.494546110942221,0.025987993552086,1.0006467124183,3000,4.91384862678664,2.88059490796315,1.0011441547787,3000
"13",0.344,351.887617820505,128.013011232826,1.00091185315308,3000,8.08510906505965,3.18578217594556,1.00186205565875,1500,10.7900215631112,2.31765624524457,1.00066055243456,3000,0.312228267604626,0.154935683001062,1.00247948406596,1800,653.642987151071,202.890689366674,1.00054148152349,3000,0.448594978509176,0.128893312394005,1.00178684885825,1600,11.1381565072647,4.82026881026075,1.00100847945443,3000,1709.30256928713,967.420335427631,1.00141790279775,2200,0.138348477634542,0.069373193050816,1.00095785335589,3000,0.557979138528098,0.0703246740953176,1.00126211568385,2600,0.494258050453715,0.0256398880852393,1.0010106177393,3000,4.96669801005274,2.89775322451796,1.00062056158251,3000
