"","age","pCO2","pCO2_sd","pCO2_rhat","pCO2_n.eff","MAT","MAT_sd","MAT_rhat","MAT_n.eff","PCQ_to","PCQ_to_sd","PCQ_to_rhat","PCQ_to_n.eff","tsc","tsc_sd","tsc_rhat","tsc_n.eff","MAP","MAP_sd","MAP_rhat","MAP_n.eff","PCQ_pf","PCQ_pf_sd","PCQ_pf_rhat","PCQ_pf_n.eff","Tsoil","Tsoil_sd","Tsoil_rhat","Tsoil_n.eff","S_z","S_z_sd","S_z_rhat","S_z_n.eff","f_R","f_R_sd","f_R_rhat","f_R_n.eff","spre","spre_sd","spre_rhat","spre_n.eff","pore","pore_sd","pore_rhat","pore_n.eff","temp_diff","temp_diff_sd","temp_diff_rhat","temp_diff_n.eff"
"1",-3,442.647398000602,110.087648615426,1.00437681051858,890,9.14423332811081,3.0091090550471,1.00272152347834,1700,10.2412168676857,2.20392858610668,1.00132080352609,8600,0.229310296852829,0.120285168064382,1.00695000358488,650,708.15016022435,168.534553525404,1.02087795645011,180,0.35897346714172,0.0529327861062123,1.00409418860765,970,12.8300090576606,3.62482236906627,1.00563356031699,650,867.090797135295,673.01277307036,1.00599971959215,600,0.116769271903531,0.0552318270326509,1.01698508755712,190,0.579908204957145,0.0668730690817763,1.00151297819502,5600,0.503383673649992,0.0251942945752991,1.00635959070354,560,5.0028336086963,2.89227226044447,1.00101458650623,73000
"2",-2.95,443.063502257226,109.844756748344,1.00443709307116,870,9.14272065681635,2.98799064850514,1.00272736667043,1700,10.2215413901381,2.2017524001887,1.00131930031635,8700,0.229310755307392,0.120284398029755,1.00489407012029,770,709.135708863904,168.133131444348,1.02082533800347,180,0.358531234699016,0.0527706240549071,1.00410662693296,960,12.8249758569869,3.59387523071198,1.00818129578399,580,863.680290634227,639.812775908161,1.00603340125282,600,0.116770722624036,0.0552300737819739,1.01699019134394,190,0.579955729512982,0.0668773667077988,1.00151523031226,5500,0.503383507778799,0.0251943701683079,1.00635973690464,560,5.00232384325365,2.89504986687396,1.00099865465697,1e+05
"3",-2.9,443.866625724904,109.544938487046,1.00454180955327,850,9.14058248516626,2.95118536380108,1.00271608359582,1700,10.1856704789398,2.20401212159697,1.00131454743365,8800,0.229311267845844,0.120282779009346,1.00489593993903,770,711.099163053686,167.730477214175,1.02067178346126,180,0.357679697393226,0.0524951089227204,1.00414025681471,950,12.7977778068223,3.54735256487283,1.00788927992081,590,860.288103724482,563.622661943503,1.00583943289576,620,0.11677398541929,0.0552278282731021,1.01700235764078,190,0.580041143830508,0.0668897139097037,1.00151899630045,5500,0.503383143209196,0.0251946062221707,1.00635959335973,560,5.00110026543832,2.90520522369839,1.0010029911868,1e+05
"4",-2.85,444.964769685421,109.246731519955,1.00468652103472,810,9.13864954925922,2.90405652900281,1.00268480639911,1800,10.1362404675702,2.21456129687205,1.00129767647341,9300,0.229311847385585,0.120279914858188,1.00489883979015,770,714.129071999302,167.628257268677,1.0203877377445,180,0.35646227478534,0.0521681874767752,1.00419832711562,930,12.7717290654728,3.47129873502871,1.00778922049864,580,855.439293708228,512.731242273623,1.00613589642022,590,0.116779009947984,0.0552246285280154,1.01701715533795,190,0.58016288776578,0.066917001336766,1.00152278810898,5500,0.503382606274231,0.0251951274587575,1.00635898565887,560,5.00029350954551,2.92726092033785,1.00100916261458,84000
"5",-2.8,446.325046049086,109.057073084785,1.00486274435987,780,9.13914603708336,2.84969261835223,1.00264418021471,1800,10.0753670109494,2.23641773943519,1.00126780297594,10000,0.229312690448041,0.120276607581737,1.00490242029502,770,718.21451996182,168.035464315146,1.01998856077793,180,0.354917409379871,0.0518285481727876,1.00424747421819,920,12.7368413482663,3.39683366584728,1.00756166857322,590,851.89594638927,477.23716564655,1.00567036179882,640,0.116786003108622,0.0552237493626936,1.01703282050056,190,0.580323051730305,0.0669625126819103,1.0015275176403,5400,0.50338226254212,0.0251958464263426,1.006358974219,560,4.99935334247288,2.96205588223272,1.00101547304432,72000
"6",-2.75,447.909311353777,109.054696868351,1.00504772846292,740,9.1415176385583,2.79105994228635,1.00257894847459,1900,10.0037994915167,2.27016017834653,1.00123297977197,12000,0.229313392755329,0.120272213920846,1.00490704238173,770,723.38271323282,169.089948403031,1.01941873868651,190,0.353081190310547,0.0515036384306755,1.0042909454809,910,12.6879903249099,3.30031109216685,1.00774320273582,550,851.928829958003,502.91966443436,1.00617115194144,580,0.116795593963521,0.0552247735544112,1.0170485954935,190,0.580520193606917,0.0670283681810568,1.00153302100989,5400,0.50338203060818,0.0251966975710123,1.00635964554896,560,4.99829618295519,3.01124385117913,1.00102070337287,64000
"7",-2.7,449.697567009802,109.268865278666,1.00524840313827,710,9.1467851489757,2.73061960630751,1.00251101165049,2000,9.92446520693642,2.31791594253788,1.00119746248323,13000,0.229314783814821,0.120267387720994,1.00491196912344,770,729.717167546905,170.879344646613,1.01874474236944,190,0.350973503313694,0.0512154222554628,1.00431316555838,900,12.6495243988847,3.1943494774707,1.00694831472627,610,853.11099586682,500.715324525852,1.00576552754647,630,0.116806613490276,0.055226238978226,1.01706533405439,190,0.580752170207052,0.0671204866814496,1.00153722659279,5300,0.503381872101628,0.0251978429901709,1.00636129690573,560,4.99799325969217,3.07664686616553,1.0010250191346,58000
"8",-2.65,451.655489438767,109.751548628258,1.00547734848377,670,9.15531933381786,2.67031113775878,1.00240504182261,2100,9.8398301403791,2.37860489242284,1.00115848950416,16000,0.229316227034156,0.120262131217313,1.00491721180983,760,737.167990780842,173.381749631032,1.01794970814948,200,0.348642211949266,0.0509812957390527,1.00432454449281,900,12.6061858253107,3.0882181607281,1.00674039311045,620,851.738118048998,399.879323746433,1.00559673836285,650,0.116820553877684,0.0552296031671655,1.01708144175767,190,0.581017246484454,0.0672368638263818,1.00154202759777,5300,0.503381583940692,0.0251994093826145,1.00636359674318,560,4.99822365476163,3.15698676923507,1.00103004618005,53000
"9",-2.6,453.732729165778,110.52312135888,1.00570338941932,640,9.16911147533215,2.61211846906757,1.00230608428487,2300,9.75037257726717,2.45134517188911,1.00112124921412,20000,0.229318862573387,0.120256182350088,1.00492253066684,760,745.79395173153,176.640902902309,1.01705992079277,210,0.346115559409535,0.0508193963735636,1.00434030918189,900,12.5588850854551,2.97561081840668,1.00624869017045,640,855.755988430261,390.592704125768,1.00555931690676,660,0.116836049352058,0.0552344609758498,1.01709838168896,190,0.581316899501622,0.0673791089919544,1.00154690212385,5200,0.503381041471323,0.0252012450439711,1.0063666006574,560,4.99826561659712,3.25142096464227,1.00103251126349,51000
"10",-2.55,455.885447954064,111.57938676818,1.00593399931022,610,9.18848826185545,2.55613295444331,1.00222449200174,2400,9.65793816617098,2.53334080597123,1.0011389044611,18000,0.229321636475936,0.120250507531299,1.0049281677018,760,755.614584591417,180.602391557998,1.01620545158187,220,0.343415317243591,0.0507382680585923,1.00435944952176,890,12.5139966560218,2.88655083184248,1.00505358853363,770,825.504816061701,221.590143065729,1.00677469351716,520,0.116852823290676,0.0552424284410994,1.01711865376694,190,0.581642705794403,0.0675469325352742,1.00155024783325,5200,0.503380251488733,0.025203348159558,1.00637017535552,560,4.99873074495678,3.35952424626668,1.00103626827405,48000
